mep_id,name,country,party
"256901","Jean-Marc Germain","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197628","Jean-Paul Garraud","France","Patriots for Europe Group"
"257003","Jeannette Baljeu","Kingdom of the Netherlands","Renew Europe Group"
"96833","Jens Geier","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"124807","Jens Gieseke","Germany","Group of the European People's Party (Christian Democrats)"
"95074","Jeroen Lenaers","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)"
"197404","Jessica Polfjärd","Sweden","Group of the European People's Party (Christian Democrats)"
"256983","Jessika van Leeuwen","Kingdom of the Netherlands","Group of the European People's Party (Christian Democrats)"
"256962","Joachim Streit","Germany","Renew Europe Group"
"257084","Joanna Scheuring-Wielgus","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"38542","Johan Danielsson","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"125106","Johan Van Overtveldt","Belgium","European Conservatives and Reformists Group"
"2268","Jonas Sjöstedt","Sweden",""
"125046","Jonás Fernández","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"131580","Jordan Bardella","France","Patriots for Europe Group"
"197829","Jorge Buxadé Villalba","Spain","Patriots for Europe Group"
"257029","Jorge Martín Frías","Spain","Patriots for Europe Group"
"257002","José Cepeda","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257057","João Cotrim de Figueiredo","Portugal","Renew Europe Group"
"257083","João Oliveira","Portugal",""
"125052","Juan Carlos Girauta","Spain","Patriots for Europe Group"
"197621","Juan Ignacio Zoido","Spain","Group of the European People's Party (Christian Democrats)"
"198373","Judita Laššáková","Slovakia",""
"256882","Julie Rechagneux","France","Patriots for Europe Group"
"256895","Julien Leonardelli","France","Patriots for Europe Group"
"88552","Julien Sanchez","France","Patriots for Europe Group"
"127766","Jussi Saramo","Finland",""
"197466","Jutta Paulus","Germany","Group of the Greens/European Free Alliance"
"197405","Jörgen Warborn","Sweden","Group of the European People's Party (Christian Democrats)"
"188096","Jüri Ratas","Estonia","Group of the European People's Party (Christian Democrats)"
"256965","Kai Tegethoff","Germany","Group of the Greens/European Free Alliance"
"257032","Kamila Gasiuk-Pihowicz","Poland","Group of the European People's Party (Christian Democrats)"
"197401","Karin Karlsbro","Sweden","Renew Europe Group"
"197413","Karlo Ressler","Croatia","Group of the European People's Party (Christian Democrats)"
"197433","Katarina Barley","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"96653","Katarína Roth Neveďalová","Slovakia",""
"23699","Kateřina Konečná","Czech Republic",""
"257299","Kathleen Funchion","Ireland",""
"5729","Kathleen Van Brempt","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"198084","Katri Kulmuni","Finland","Renew Europe Group"
"197461","Katrin Langensiepen","Germany","Group of the Greens/European Free Alliance"
"197870","Kim van Sparrentak","Kingdom of the Netherlands","Group of the Greens/European Free Alliance"
"28150","Kinga Gál","Hungary","Patriots for Europe Group"
"256861","Kinga Kollár","Hungary","Group of the European People's Party (Christian Democrats)"
"197573","Kira Marie Peter-Hansen","Kingdom of Denmark","Group of the Greens/European Free Alliance"
"197579","Klára Dobrev","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"124884","Kosma Złotowski","Poland","European Conservatives and Reformists Group"
"256884","Kris Van Dijck","Belgium","European Conservatives and Reformists Group"
"34232","Kristian Vigenin","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"251324","Krzysztof Brejza","Poland","Group of the European People's Party (Christian Democrats)"
"124895","Krzysztof Hetman","Poland","Group of the European People's Party (Christian Democrats)"
"257085","Krzysztof Śmiszek","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257149","Lara Magoni","Italy","European Conservatives and Reformists Group"
"5392","Lara Wolters","Kingdom of the Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"247735","Laura Ballarín Cereza","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"197589","Laurence Farreng","France","Renew Europe Group"
"256925","Laurence Trochu","France","European Conservatives and Reformists Group"
"256921","Laurent Castillo","France","Group of the European People's Party (Christian Democrats)"
"197734","Lefteris Nikolaou-Alavanos","Greece",""
"256993","Leire Pajín","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"99945","Lena Düpont","Germany","Group of the European People's Party (Christian Democrats)"
"256833","Lena Schilling","Austria","Group of the Greens/European Free Alliance"
"2152","Leoluca Orlando","Italy","Group of the Greens/European Free Alliance"
"257151","Letizia Moratti","Italy","Group of the European People's Party (Christian Democrats)"
"256805","Li Andersson","Finland",""
"256889","Liesbet Sommen","Belgium","Group of the European People's Party (Christian Democrats)"
"98582","Loránt Vincze","Romania","Group of the European People's Party (Christian Democrats)"
"257123","Lucia Annunziata","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
"257011","Lucia Yar","Slovakia","Renew Europe Group"
"124701","Luděk Niedermayer","Czech Republic","Group of the European People's Party (Christian Democrats)"
"190713","Lukas Mandl","Austria","Group of the European People's Party (Christian Democrats)"
"256971","Lukas Sieper","Germany",""
"124984","Lynn Boylan","Ireland",""
"197738","Lídia Pereira","Portugal","Group of the European People's Party (Christian Democrats)"
"257052","Maciej Wąsik","Poland","European Conservatives and Reformists Group"
"197490","Magdalena Adamowicz","Poland","Group of the European People's Party (Christian Democrats)"
"197781","Malik Azmani","Kingdom of the Netherlands","Renew Europe Group"
"256871","Malika Sorel","France",""
"28229","Manfred Weber","Germany","Group of the European People's Party (Christian Democrats)"
"197533","Manon Aubry","France",""
"206158","Manuela Ripa","Germany","Group of the European People's Party (Christian Democrats)"
"257043","Maravillas Abadía Jover","Spain","Group of the European People's Party (Christian Democrats)"
"202073","Marc Angel","Luxembourg","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament"
