vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
176112,2025-05-08 12:16:06,The role of gas storage for securing gas supplies ahead of the winter season,REJECTED,OLP_FIRST_READING,75,465,32,https://www.europarl.europa.eu/plenary/en/votes/176112.xml
176115,2025-05-08 12:16:28,The role of gas storage for securing gas supplies ahead of the winter season,REJECTED,OLP_FIRST_READING,92,472,7,https://www.europarl.europa.eu/plenary/en/votes/176115.xml
176131,2025-05-08 12:18:19,The role of gas storage for securing gas supplies ahead of the winter season,ADOPTED,OLP_FIRST_READING,366,140,67,https://www.europarl.europa.eu/plenary/en/votes/176131.xml
176136,2025-05-08 12:18:51,The role of gas storage for securing gas supplies ahead of the winter season,REJECTED,OLP_FIRST_READING,94,478,5,https://www.europarl.europa.eu/plenary/en/votes/176136.xml
176139,2025-05-08 12:19:50,The role of gas storage for securing gas supplies ahead of the winter season,REJECTED,OLP_FIRST_READING,102,427,45,https://www.europarl.europa.eu/plenary/en/votes/176139.xml
176144,2025-05-08 12:20:45,The role of gas storage for securing gas supplies ahead of the winter season,REJECTED,OLP_FIRST_READING,100,440,31,https://www.europarl.europa.eu/plenary/en/votes/176144.xml
176145,2025-05-08 12:41:09,Competition policy – annual report 2024,REJECTED,,66,477,22,https://www.europarl.europa.eu/plenary/en/votes/176145.xml
176146,2025-05-08 12:41:22,Competition policy – annual report 2024,REJECTED,,66,368,130,https://www.europarl.europa.eu/plenary/en/votes/176146.xml
176147,2025-05-08 12:41:34,Competition policy – annual report 2024,REJECTED,,49,465,55,https://www.europarl.europa.eu/plenary/en/votes/176147.xml
176148,2025-05-08 12:41:46,Competition policy – annual report 2024,REJECTED,,175,372,22,https://www.europarl.europa.eu/plenary/en/votes/176148.xml
176150,2025-05-08 12:45:25,Competition policy – annual report 2024,REJECTED,,94,453,13,https://www.europarl.europa.eu/plenary/en/votes/176150.xml
